year,country,indicator,value
1960,Argentina,Agricultural_land_(sq. km),1378290
1960,Australia,Agricultural_land_(sq. km),4615850
1960,Brazil,Agricultural_land_(sq. km),1505310
1960,Canada,Agricultural_land_(sq. km),698250
1960,China,Agricultural_land_(sq. km),3423500
1960,German,Agricultural_land_(sq. km),193750
1960,European Union,Agricultural_land_(sq. km),2101850.999
1960,France,Agricultural_land_(sq. km),345390
1960,United Kingdom,Agricultural_land_(sq. km),198000
1960,Indonesia,Agricultural_land_(sq. km),386000
1960,India,Agricultural_land_(sq. km),1749520
1960,Italy,Agricultural_land_(sq. km),206830
1960,Japan,Agricultural_land_(sq. km),71100
1960,"Korea, Rep.",Agricultural_land_(sq. km),21130
1960,Mexico,Agricultural_land_(sq. km),983160
1960,Saudi Arabia,Agricultural_land_(sq. km),861700
1960,Turkey,Agricultural_land_(sq. km),365170
1960,United States,Agricultural_land_(sq. km),4475090
1960,South Africa,Agricultural_land_(sq. km),1013350
1960,Argentina,CO2_Emissions(kt),51180.319
1960,Australia,CO2_Emissions(kt),90589.568
1960,Brazil,CO2_Emissions(kt),49203.806
1960,Canada,CO2_Emissions(kt),194182.318
1960,China,CO2_Emissions(kt),552066.85
1960,European Union,CO2_Emissions(kt),2445945.664
1960,France,CO2_Emissions(kt),281211.229
1960,United Kingdom,CO2_Emissions(kt),588938.535
1960,Indonesia,CO2_Emissions(kt),26024.699
1960,India,CO2_Emissions(kt),130402.187
1960,Italy,CO2_Emissions(kt),124549.655
1960,Japan,CO2_Emissions(kt),283118.069
1960,"Korea, Rep.",CO2_Emissions(kt),14462.648
1960,Mexico,CO2_Emissions(kt),65305.603
1960,Saudi Arabia,CO2_Emissions(kt),3571.658
1960,Turkey,CO2_Emissions(kt),17363.245
1960,United States,CO2_Emissions(kt),2880505.507
1960,South Africa,CO2_Emissions(kt),102213.958
1960,Argentina,Population,20817266
1960,Australia,Population,10483000
1960,Brazil,Population,74311343
1960,Canada,Population,18271000
1960,China,Population,660330000
1960,German,Population,73377632
1960,European Union,Population,412798418
1960,France,Population,47240543
1960,United Kingdom,Population,52800000
1960,Indonesia,Population,90098394
1960,India,Population,459642165
1960,Italy,Population,50536350
1960,Japan,Population,94943000
1960,"Korea, Rep.",Population,25765673
1960,Mexico,Population,38966056
1960,Russian Federation,Population,121236000
1960,Saudi Arabia,Population,4218853
1960,Turkey,Population,28146910
1960,United States,Population,183691000
1960,South Africa,Population,17524533
1960,Argentina,Urban population,15449950
1960,Australia,Urban population,8589875
1960,Brazil,Urban population,35016991
1960,Canada,Urban population,12729040
1960,China,Urban population,110327936
1960,German,Urban population,52609561
1960,European Union,Urban population,254563188
1960,France,Urban population,29575887
1960,United Kingdom,Urban population,41381472
1960,Indonesia,Urban population,13353483
1960,India,Urban population,82882675
1960,Italy,Urban population,30249038
1960,Japan,Urban population,60965749
1960,"Korea, Rep.",Urban population,7351204
1960,Mexico,Urban population,20102588
1960,Russian Federation,Urban population,66226377
1960,Saudi Arabia,Urban population,1365769
1960,Turkey,Urban population,9025025
1960,United States,Urban population,129276215
1960,South Africa,Urban population,8200255
1965,Argentina,Agricultural_land_(sq. km),1317800
1965,Australia,Agricultural_land_(sq. km),4729760
1965,Brazil,Agricultural_land_(sq. km),1703950
1965,Canada,Agricultural_land_(sq. km),703370
1965,China,Agricultural_land_(sq. km),3546000
1965,German,Agricultural_land_(sq. km),195340
1965,European Union,Agricultural_land_(sq. km),2078347
1965,France,Agricultural_land_(sq. km),340010
1965,United Kingdom,Agricultural_land_(sq. km),195850
1965,Indonesia,Agricultural_land_(sq. km),385000
1965,India,Agricultural_land_(sq. km),1771770
1965,Italy,Agricultural_land_(sq. km),204400
1965,Japan,Agricultural_land_(sq. km),70040
1965,"Korea, Rep.",Agricultural_land_(sq. km),22780
1965,Mexico,Agricultural_land_(sq. km),979790
1965,Saudi Arabia,Agricultural_land_(sq. km),862620
1965,Turkey,Agricultural_land_(sq. km),372960
1965,United States,Agricultural_land_(sq. km),4358730
1965,South Africa,Agricultural_land_(sq. km),966100
1965,Argentina,CO2_Emissions(kt),58866.351
1965,Australia,CO2_Emissions(kt),120966.996
1965,Brazil,CO2_Emissions(kt),56398.46
1965,Canada,CO2_Emissions(kt),252153.921
1965,China,CO2_Emissions(kt),475972.933
1965,European Union,CO2_Emissions(kt),2977005.808
